kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
ER083,Pisang kidang segar,75.4,96,1,0.2,22.5,0.6,87,173,0.6,6,418.8,0.22,0.5,0,38,58,0.04,0.1,0.9,2
ER084,Pisang lampung segar,72.1,99,1.3,0.2,25.6,4.3,10,19,0.9,28,475,0.25,0.5,0,43,618,0.07,0.12,1,4
ER085,Pisang mas bali ampenan segar,76.8,92,1.4,0.2,21,3.7,7,29,1.2,32,272,0.18,0.4,0,14,0,0.09,0.03,0.6,11
ER086,Pisang mas bali kopang segar,64.2,127,1.4,0.2,31.8,3.7,10,0,0.1,43,616,0.12,0.4,0,21,0,0.21,0.05,0.9,17
ER087,Pisang mas segar,64.2,127,1.4,0.2,33.6,1.4,7,25,0.8,42,392,195.78,0.5,0,17,79,0.09,0.08,4.5,2
ER088,Pisang raja sereh segar,69.3,108,1.3,0.3,28.2,0.7,16,38,0.1,31,522.6,0.27,0.6,0,48,480,0.02,0.08,1.1,2
ER089,Pisang raja segar,65.8,120,1.2,0.2,31.8,5.3,10,22,0.8,35,582.2,0.31,0.7,0,53,950,0.06,0.14,1.2,10
ER090,Pisang rotan segar,76.1,98,1.3,1.2,20.5,1,17,51,1.1,24,406.9,0.21,0.5,0,37,697,0.01,0.1,0.9,2
ER091,Pisang talas segar,71,113,1.2,0.2,26.7,4.4,22,22,0.6,29,48,0.26,0.1,0,159,0,0.12,0.03,1,9
ER092,Pisang tujuh bulan,75.9,94,0.6,0.2,22.5,3.7,50,20,0.2,0,4,0.1,0.4,0,72,0,0.03,0.03,0.3,6
